1: Max Upload: 841 Kbps, Max Download: 11046 Kbps, Latency: 9,43 ms, Packet Loss: 0,0000%
2: Max Upload: 42076 Kbps, Max Download: 131493 Kbps, Latency: 15,74 ms, Packet Loss: 0,0199%
3: Max Upload: 686 Kbps, Max Download: 15039 Kbps, Latency: 18,80 ms, Packet Loss: 0,0000%
4: Max Upload: 973 Kbps, Max Download: 3148 Kbps, Latency: 5,32 ms, Packet Loss: 0,0000%
5: Max Upload: 607 Kbps, Max Download: 1184 Kbps, Latency: 10,32 ms, Packet Loss: 0,0137%
6: Max Upload: 21205 Kbps, Max Download: 292583 Kbps, Latency: 14,19 ms, Packet Loss: 0,0065%
7: Max Upload: 25025 Kbps, Max Download: 282049 Kbps, Latency: 20,72 ms, Packet Loss: 0,0091%
8: Max Upload: 891 Kbps, Max Download: 9782 Kbps, Latency: 37,86 ms, Packet Loss: 0,0000%
9: Max Upload: 880 Kbps, Max Download: 14820 Kbps, Latency: 35,94 ms, Packet Loss: 0,0000%
10: Max Upload: 1141 Kbps, Max Download: 22597 Kbps, Latency: 30,53 ms, Packet Loss: 0,0120%
11: Max Upload: 883 Kbps, Max Download: 4921 Kbps, Latency: 21,01 ms, Packet Loss: 0,0000%
12: Max Upload: 982 Kbps, Max Download: 12238 Kbps, Latency: 35,52 ms, Packet Loss: 0,0021%
13: Max Upload: 19338 Kbps, Max Download: 311271 Kbps, Latency: 18,02 ms, Packet Loss: 0,0100%
14: Max Upload: 978 Kbps, Max Download: 15448 Kbps, Latency: 35,37 ms, Packet Loss: 0,0016%
15: Max Upload: 777 Kbps, Max Download: 4683 Kbps, Latency: 22,29 ms, Packet Loss: 0,0003%
16: Max Upload: 1027 Kbps, Max Download: 18549 Kbps, Latency: 31,45 ms, Packet Loss: 0,0083%
17: Max Upload: 811 Kbps, Max Download: 7999 Kbps, Latency: 18,39 ms, Packet Loss: 0,0000%
18: Max Upload: 949 Kbps, Max Download: 5175 Kbps, Latency: 15,09 ms, Packet Loss: 0,0111%
19: Max Upload: 616 Kbps, Max Download: 14686 Kbps, Latency: 21,36 ms, Packet Loss: 0,0000%
20: Max Upload: 678 Kbps, Max Download: 12236 Kbps, Latency: 22,79 ms, Packet Loss: 0,0040%
21: Max Upload: 812 Kbps, Max Download: 3506 Kbps, Latency: 9,33 ms, Packet Loss: 0,0048%
22: Max Upload: 515 Kbps, Max Download: 7915 Kbps, Latency: 27,84 ms, Packet Loss: 0,0012%
23: Max Upload: 989 Kbps, Max Download: 11468 Kbps, Latency: 10,44 ms, Packet Loss: 0,0018%
24: Max Upload: 752 Kbps, Max Download: 362 Kbps, Latency: 46,86 ms, Packet Loss: 0,0069%
25: Max Upload: 1077 Kbps, Max Download: 17481 Kbps, Latency: 12,15 ms, Packet Loss: 0,0009%
26: Max Upload: 1075 Kbps, Max Download: 9519 Kbps, Latency: 34,25 ms, Packet Loss: 0,0000%
27: Max Upload: 23057 Kbps, Max Download: 234647 Kbps, Latency: 16,61 ms, Packet Loss: 0,0037%
28: Max Upload: 7368 Kbps, Max Download: 156472 Kbps, Latency: 15,06 ms, Packet Loss: 0,0066%
29: Max Upload: 826 Kbps, Max Download: 12151 Kbps, Latency: 28,99 ms, Packet Loss: 0,0036%
30: Max Upload: 761 Kbps, Max Download: 4637 Kbps, Latency: 39,12 ms, Packet Loss: 0,0000%
