1: Max Upload: 863 Kbps, Max Download: 19837 Kbps, Latency: 25,97 ms, Packet Loss: 0,0074%
2: Max Upload: 661 Kbps, Max Download: 8178 Kbps, Latency: 24,28 ms, Packet Loss: 0,0037%
3: Max Upload: 579 Kbps, Max Download: 4693 Kbps, Latency: 30,79 ms, Packet Loss: 0,0046%
4: Max Upload: 20988 Kbps, Max Download: 275115 Kbps, Latency: 20,46 ms, Packet Loss: 0,0013%
5: Max Upload: 714 Kbps, Max Download: 10465 Kbps, Latency: 43,35 ms, Packet Loss: 0,0000%
6: Max Upload: 744 Kbps, Max Download: 22550 Kbps, Latency: 15,38 ms, Packet Loss: 0,0079%
7: Max Upload: 7131 Kbps, Max Download: 209779 Kbps, Latency: 14,98 ms, Packet Loss: 0,0000%
8: Max Upload: 693 Kbps, Max Download: 22753 Kbps, Latency: 25,66 ms, Packet Loss: 0,0034%
9: Max Upload: 15733 Kbps, Max Download: 72326 Kbps, Latency: 4,72 ms, Packet Loss: 0,0008%
10: Max Upload: 43410 Kbps, Max Download: 222811 Kbps, Latency: 17,21 ms, Packet Loss: 0,0000%
11: Max Upload: 492 Kbps, Max Download: 7224 Kbps, Latency: 46,75 ms, Packet Loss: 0,0000%
12: Max Upload: 822 Kbps, Max Download: 20984 Kbps, Latency: 28,40 ms, Packet Loss: 0,0062%
13: Max Upload: 752 Kbps, Max Download: 266 Kbps, Latency: 29,75 ms, Packet Loss: 0,0000%
14: Max Upload: 16515 Kbps, Max Download: 87323 Kbps, Latency: 14,09 ms, Packet Loss: 0,0280%
15: Max Upload: 837 Kbps, Max Download: 14344 Kbps, Latency: 23,92 ms, Packet Loss: 0,0059%
16: Max Upload: 15638 Kbps, Max Download: 76033 Kbps, Latency: 13,47 ms, Packet Loss: 0,0000%
17: Max Upload: 1249 Kbps, Max Download: 6402 Kbps, Latency: 40,34 ms, Packet Loss: 0,0000%
18: Max Upload: 848 Kbps, Max Download: 20014 Kbps, Latency: 33,73 ms, Packet Loss: 0,0061%
19: Max Upload: 810 Kbps, Max Download: 4271 Kbps, Latency: 18,32 ms, Packet Loss: 0,0031%
20: Max Upload: 692 Kbps, Max Download: 9850 Kbps, Latency: 37,57 ms, Packet Loss: 0,0082%
21: Max Upload: 1169 Kbps, Max Download: 15940 Kbps, Latency: 32,51 ms, Packet Loss: 0,0073%
22: Max Upload: 11622 Kbps, Max Download: 154340 Kbps, Latency: 21,59 ms, Packet Loss: 0,0051%
23: Max Upload: 1104 Kbps, Max Download: 6616 Kbps, Latency: 34,43 ms, Packet Loss: 0,0000%
24: Max Upload: 17345 Kbps, Max Download: 353904 Kbps, Latency: 16,55 ms, Packet Loss: 0,0082%
25: Max Upload: 638 Kbps, Max Download: 10244 Kbps, Latency: 23,71 ms, Packet Loss: 0,0000%
26: Max Upload: 812 Kbps, Max Download: 9000 Kbps, Latency: 4,71 ms, Packet Loss: 0,0069%
27: Max Upload: 843 Kbps, Max Download: 14600 Kbps, Latency: 32,19 ms, Packet Loss: 0,0000%
28: Max Upload: 40714 Kbps, Max Download: 267411 Kbps, Latency: 15,56 ms, Packet Loss: 0,0000%
