1: Max Upload: 776 Kbps, Max Download: 3276 Kbps, Latency: 26,34 ms, Packet Loss: 0,0000%
2: Max Upload: 796 Kbps, Max Download: 8075 Kbps, Latency: 28,41 ms, Packet Loss: 0,0062%
3: Max Upload: 1137 Kbps, Max Download: 13499 Kbps, Latency: 17,99 ms, Packet Loss: 0,0009%
4: Max Upload: 977 Kbps, Max Download: 3580 Kbps, Latency: 40,63 ms, Packet Loss: 0,0001%
5: Max Upload: 643 Kbps, Max Download: 4431 Kbps, Latency: 24,84 ms, Packet Loss: 0,0059%
6: Max Upload: 6835 Kbps, Max Download: 184318 Kbps, Latency: 13,49 ms, Packet Loss: 0,0000%
7: Max Upload: 1132 Kbps, Max Download: 9212 Kbps, Latency: 27,44 ms, Packet Loss: 0,0000%
8: Max Upload: 29290 Kbps, Max Download: 167831 Kbps, Latency: 20,10 ms, Packet Loss: 0,0064%
9: Max Upload: 1032 Kbps, Max Download: 22875 Kbps, Latency: 20,40 ms, Packet Loss: 0,0114%
10: Max Upload: 566 Kbps, Max Download: 5031 Kbps, Latency: 6,85 ms, Packet Loss: 0,0002%
11: Max Upload: 625 Kbps, Max Download: 18829 Kbps, Latency: 30,16 ms, Packet Loss: 0,0094%
12: Max Upload: 1116 Kbps, Max Download: 17759 Kbps, Latency: 27,38 ms, Packet Loss: 0,0057%
13: Max Upload: 19579 Kbps, Max Download: 191728 Kbps, Latency: 17,65 ms, Packet Loss: 0,0000%
14: Max Upload: 15994 Kbps, Max Download: 177588 Kbps, Latency: 18,95 ms, Packet Loss: 0,0130%
15: Max Upload: 22543 Kbps, Max Download: 101626 Kbps, Latency: 17,31 ms, Packet Loss: 0,0006%
16: Max Upload: 11315 Kbps, Max Download: 58198 Kbps, Latency: 14,50 ms, Packet Loss: 0,0004%
17: Max Upload: 969 Kbps, Max Download: 8130 Kbps, Latency: 25,19 ms, Packet Loss: 0,0075%
18: Max Upload: 1226 Kbps, Max Download: 13068 Kbps, Latency: 9,85 ms, Packet Loss: 0,0013%
19: Max Upload: 881 Kbps, Max Download: 11510 Kbps, Latency: 14,49 ms, Packet Loss: 0,0070%
20: Max Upload: 573 Kbps, Max Download: 14191 Kbps, Latency: 19,02 ms, Packet Loss: 0,0000%
21: Max Upload: 854 Kbps, Max Download: 5515 Kbps, Latency: 31,75 ms, Packet Loss: 0,0000%
22: Max Upload: 17925 Kbps, Max Download: 186741 Kbps, Latency: 18,31 ms, Packet Loss: 0,0015%
23: Max Upload: 892 Kbps, Max Download: 6546 Kbps, Latency: 6,38 ms, Packet Loss: 0,0011%
24: Max Upload: 1287 Kbps, Max Download: 7607 Kbps, Latency: 22,04 ms, Packet Loss: 0,0090%
25: Max Upload: 325 Kbps, Max Download: 9846 Kbps, Latency: 17,47 ms, Packet Loss: 0,0022%
26: Max Upload: 25837 Kbps, Max Download: 328516 Kbps, Latency: 17,09 ms, Packet Loss: 0,0128%
27: Max Upload: 22687 Kbps, Max Download: 275046 Kbps, Latency: 16,00 ms, Packet Loss: 0,0096%
28: Max Upload: 971 Kbps, Max Download: 17092 Kbps, Latency: 19,84 ms, Packet Loss: 0,0000%
29: Max Upload: 779 Kbps, Max Download: 10803 Kbps, Latency: 28,28 ms, Packet Loss: 0,0010%
30: Max Upload: 34808 Kbps, Max Download: 119454 Kbps, Latency: 19,99 ms, Packet Loss: 0,0039%
31: Max Upload: 32836 Kbps, Max Download: 272670 Kbps, Latency: 15,43 ms, Packet Loss: 0,0037%
32: Max Upload: 809 Kbps, Max Download: 13365 Kbps, Latency: 20,05 ms, Packet Loss: 0,0083%
33: Max Upload: 1089 Kbps, Max Download: 7292 Kbps, Latency: 27,20 ms, Packet Loss: 0,0000%
34: Max Upload: 17425 Kbps, Max Download: 152359 Kbps, Latency: 19,83 ms, Packet Loss: 0,0000%
35: Max Upload: 979 Kbps, Max Download: 7155 Kbps, Latency: 22,28 ms, Packet Loss: 0,0008%
36: Max Upload: 589 Kbps, Max Download: 3569 Kbps, Latency: 11,89 ms, Packet Loss: 0,0136%
37: Max Upload: 471 Kbps, Max Download: 17187 Kbps, Latency: 37,14 ms, Packet Loss: 0,0033%
38: Max Upload: 701 Kbps, Max Download: 9951 Kbps, Latency: 11,40 ms, Packet Loss: 0,0000%
39: Max Upload: 804 Kbps, Max Download: 6578 Kbps, Latency: 18,63 ms, Packet Loss: 0,0051%
40: Max Upload: 595 Kbps, Max Download: 8511 Kbps, Latency: 21,03 ms, Packet Loss: 0,0065%
41: Max Upload: 868 Kbps, Max Download: 15088 Kbps, Latency: 18,91 ms, Packet Loss: 0,0000%
42: Max Upload: 1078 Kbps, Max Download: 19028 Kbps, Latency: 25,81 ms, Packet Loss: 0,0000%
43: Max Upload: 566 Kbps, Max Download: 12568 Kbps, Latency: 41,37 ms, Packet Loss: 0,0050%
44: Max Upload: 700 Kbps, Max Download: 12748 Kbps, Latency: 27,12 ms, Packet Loss: 0,0000%
45: Max Upload: 657 Kbps, Max Download: 7059 Kbps, Latency: 30,39 ms, Packet Loss: 0,0029%
46: Max Upload: 1151 Kbps, Max Download: 1929 Kbps, Latency: 20,62 ms, Packet Loss: 0,0000%
47: Max Upload: 872 Kbps, Max Download: 11742 Kbps, Latency: 33,68 ms, Packet Loss: 0,0005%
48: Max Upload: 850 Kbps, Max Download: 5168 Kbps, Latency: 14,30 ms, Packet Loss: 0,0028%
49: Max Upload: 752 Kbps, Max Download: 7323 Kbps, Latency: 25,87 ms, Packet Loss: 0,0017%
50: Max Upload: 777 Kbps, Max Download: 7647 Kbps, Latency: 33,63 ms, Packet Loss: 0,0051%
51: Max Upload: 696 Kbps, Max Download: 10713 Kbps, Latency: 21,70 ms, Packet Loss: 0,0000%
52: Max Upload: 23618 Kbps, Max Download: 357347 Kbps, Latency: 20,78 ms, Packet Loss: 0,0000%
53: Max Upload: 576 Kbps, Max Download: 3028 Kbps, Latency: 16,86 ms, Packet Loss: 0,0047%
54: Max Upload: 23029 Kbps, Max Download: 280027 Kbps, Latency: 19,42 ms, Packet Loss: 0,0016%
55: Max Upload: 10488 Kbps, Max Download: 51375 Kbps, Latency: 11,84 ms, Packet Loss: 0,0009%
56: Max Upload: 775 Kbps, Max Download: 17820 Kbps, Latency: 31,45 ms, Packet Loss: 0,0000%
57: Max Upload: 1052 Kbps, Max Download: 10836 Kbps, Latency: 27,62 ms, Packet Loss: 0,0008%
58: Max Upload: 1432 Kbps, Max Download: 16814 Kbps, Latency: 17,25 ms, Packet Loss: 0,0052%
59: Max Upload: 841 Kbps, Max Download: 11092 Kbps, Latency: 22,07 ms, Packet Loss: 0,0019%
60: Max Upload: 1068 Kbps, Max Download: 10378 Kbps, Latency: 15,88 ms, Packet Loss: 0,0052%
61: Max Upload: 785 Kbps, Max Download: 11465 Kbps, Latency: 17,49 ms, Packet Loss: 0,0042%
62: Max Upload: 961 Kbps, Max Download: 5690 Kbps, Latency: 13,61 ms, Packet Loss: 0,0012%
63: Max Upload: 998 Kbps, Max Download: 4423 Kbps, Latency: 6,60 ms, Packet Loss: 0,0000%
64: Max Upload: 878 Kbps, Max Download: 10175 Kbps, Latency: 32,17 ms, Packet Loss: 0,0000%
65: Max Upload: 354 Kbps, Max Download: 10269 Kbps, Latency: 10,60 ms, Packet Loss: 0,0081%
